Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas261            Pavarde261            5              9              8              6              3              0              2              5              3              8              0              
Vardas262            Pavarde262            0              3              0              8              1              7              1              8              8              2              0              
Vardas263            Pavarde263            9              6              6              4              9              0              3              3              9              8              6              
Vardas264            Pavarde264            2              9              3              9              9              9              9              9              1              1              0              
Vardas265            Pavarde265            0              3              8              5              7              9              9              5              10             9              7              
Vardas266            Pavarde266            2              9              10             4              1              5              4              7              6              3              5              
Vardas267            Pavarde267            1              7              8              6              7              0              6              5              8              1              7              
Vardas268            Pavarde268            6              9              1              4              5              10             9              4              1              4              10             
Vardas269            Pavarde269            3              2              4              7              7              8              7              6              5              4              10             
Vardas270            Pavarde270            5              1              0              2              4              3              0              3              3              5              2              
Vardas271            Pavarde271            2              9              4              5              4              4              7              8              4              1              7              
Vardas272            Pavarde272            7              2              3              1              2              0              1              5              8              2              4              
Vardas273            Pavarde273            2              8              6              0              6              6              10             8              4              2              3              
Vardas274            Pavarde274            2              6              9              10             3              5              5              0              5              8              10             
Vardas275            Pavarde275            7              9              2              3              6              3              10             3              10             9              3              
Vardas276            Pavarde276            3              5              0              1              7              6              10             9              0              2              10             
Vardas277            Pavarde277            10             10             6              5              2              1              1              2              9              6              4              
Vardas278            Pavarde278            6              10             2              3              4              5              9              3              8              8              3              
Vardas279            Pavarde279            4              0              5              10             5              10             2              6              0              0              1              
Vardas280            Pavarde280            0              2              10             1              1              0              5              8              2              10             7              
Vardas281            Pavarde281            9              9              1              5              0              3              10             7              6              8              6              
Vardas282            Pavarde282            0              2              7              8              8              8              7              7              8              1              10             
Vardas283            Pavarde283            1              5              8              3              7              6              6              5              8              9              6              
Vardas284            Pavarde284            7              2              5              2              8              6              10             0              0              7              0              
Vardas285            Pavarde285            6              5              1              10             6              3              10             5              2              2              8              
Vardas286            Pavarde286            1              3              8              10             5              0              8              6              8              3              4              
Vardas287            Pavarde287            7              5              7              1              10             4              0              10             5              9              7              
Vardas288            Pavarde288            4              10             3              1              9              8              1              0              7              4              7              
Vardas289            Pavarde289            9              7              3              1              6              4              9              3              4              10             10             
Vardas290            Pavarde290            0              9              2              9              9              6              0              0              0              5              5              
Vardas291            Pavarde291            1              8              1              6              8              2              0              0              4              0              6              
Vardas292            Pavarde292            3              6              10             9              0              2              5              1              10             4              10             
Vardas293            Pavarde293            9              2              2              5              10             1              4              4              7              9              6              
Vardas294            Pavarde294            5              1              8              4              6              7              6              3              7              3              8              
Vardas295            Pavarde295            1              5              0              6              1              4              0              8              4              7              9              
Vardas296            Pavarde296            8              4              2              3              1              7              4              10             7              2              2              
Vardas297            Pavarde297            10             5              4              5              1              10             1              8              0              0              5              
Vardas298            Pavarde298            3              3              5              3              7              7              2              3              6              10             1              
Vardas299            Pavarde299            2              9              8              7              3              6              0              9              3              5              5              
Vardas300            Pavarde300            7              4              6              6              7              6              6              0              3              4              0              
Vardas301            Pavarde301            9              3              0              7              1              6              4              0              0              8              4              
Vardas302            Pavarde302            8              9              7              2              5              2              3              8              1              9              2              
Vardas303            Pavarde303            1              6              8              8              2              10             1              6              3              9              6              
Vardas304            Pavarde304            10             7              1              3              10             9              4              9              1              9              9              
Vardas305            Pavarde305            7              4              2              4              8              4              7              5              3              6              2              
Vardas306            Pavarde306            7              2              6              1              5              5              1              7              5              1              9              
Vardas307            Pavarde307            1              10             4              5              3              8              3              1              3              7              4              
Vardas308            Pavarde308            4              1              9              5              2              7              7              4              4              3              1              
Vardas309            Pavarde309            6              1              7              1              9              7              1              2              7              0              4              
Vardas310            Pavarde310            7              9              10             1              4              9              8              5              8              1              0              
Vardas311            Pavarde311            3              8              9              5              0              9              2              7              2              2              5              
Vardas312            Pavarde312            4              1              4              2              4              10             6              1              9              2              4              
Vardas313            Pavarde313            0              4              5              4              1              2              9              6              3              10             4              
Vardas314            Pavarde314            3              2              10             1              8              1              0              4              2              7              7              
Vardas315            Pavarde315            3              9              8              2              0              6              7              5              1              2              6              
Vardas316            Pavarde316            10             4              5              8              2              2              8              4              9              4              2              
Vardas317            Pavarde317            8              6              0              6              5              2              7              4              3              4              2              
Vardas318            Pavarde318            3              6              8              7              6              6              10             4              10             7              8              
Vardas319            Pavarde319            0              3              0              4              0              6              8              3              7              5              1              
Vardas320            Pavarde320            7              6              4              1              10             7              6              2              9              5              3              
Vardas321            Pavarde321            7              0              0              2              2              2              10             0              4              6              6              
Vardas322            Pavarde322            2              1              4              6              9              9              5              0              4              0              9              
Vardas323            Pavarde323            6              7              2              6              9              9              8              5              0              9              3              
Vardas324            Pavarde324            2              3              0              3              9              7              4              9              0              6              6              
Vardas325            Pavarde325            10             10             6              4              5              8              2              8              2              6              4              
Vardas326            Pavarde326            9              5              2              1              4              4              2              9              7              3              0              
Vardas327            Pavarde327            3              10             7              8              2              9              5              9              6              4              9              
Vardas328            Pavarde328            1              5              0              5              0              5              7              3              5              6              8              
Vardas329            Pavarde329            6              6              1              10             3              0              4              4              4              4              10             
Vardas330            Pavarde330            9              0              1              6              3              10             3              5              0              10             6              
Vardas331            Pavarde331            5              5              10             0              7              4              6              4              4              4              7              
Vardas332            Pavarde332            6              5              6              6              7              10             2              0              10             3              7              
Vardas333            Pavarde333            9              7              1              5              7              1              8              7              1              6              6              
Vardas334            Pavarde334            2              3              8              0              4              10             7              3              10             7              6              
Vardas335            Pavarde335            4              1              8              8              3              1              7              5              4              7              6              
Vardas336            Pavarde336            1              0              8              7              6              9              7              1              7              1              3              
Vardas337            Pavarde337            5              4              1              6              1              5              0              7              5              9              0              
Vardas338            Pavarde338            3              9              5              7              10             9              0              7              3              3              0              
Vardas339            Pavarde339            2              6              10             10             7              9              9              8              1              9              0              
Vardas340            Pavarde340            1              5              1              3              6              1              2              6              8              9              6              
Vardas341            Pavarde341            4              2              10             9              2              9              8              2              9              0              9              
Vardas342            Pavarde342            1              5              0              10             8              0              2              5              3              7              0              
Vardas343            Pavarde343            10             4              4              0              8              9              5              4              9              1              0              
Vardas344            Pavarde344            3              6              6              0              7              10             4              6              10             7              5              
Vardas345            Pavarde345            1              6              7              8              3              4              0              0              0              6              3              
Vardas346            Pavarde346            10             9              3              7              5              0              9              2              6              0              4              
Vardas347            Pavarde347            2              4              4              3              8              0              1              6              4              1              6              
Vardas348            Pavarde348            8              1              2              5              10             5              5              5              0              9              4              
Vardas349            Pavarde349            4              7              1              4              7              1              9              10             4              1              1              
Vardas350            Pavarde350            7              9              4              4              4              3              0              7              7              5              3              
Vardas351            Pavarde351            6              7              7              10             0              7              10             8              5              9              9              
Vardas352            Pavarde352            2              0              3              10             3              8              2              0              7              9              3              
Vardas353            Pavarde353            9              2              3              7              8              7              2              6              5              6              0              
Vardas354            Pavarde354            1              0              3              5              8              9              10             0              1              6              10             
Vardas355            Pavarde355            10             4              9              6              2              8              1              3              9              0              0              
Vardas356            Pavarde356            9              3              3              9              8              5              10             9              3              8              3              
Vardas357            Pavarde357            1              3              1              8              9              1              1              4              6              0              2              
Vardas358            Pavarde358            8              8              0              4              8              10             5              8              10             5              5              
Vardas359            Pavarde359            5              3              4              9              7              8              10             10             0              9              10             
Vardas360            Pavarde360            7              6              7              3              1              1              1              0              1              8              0              
Vardas361            Pavarde361            5              2              7              4              7              1              2              1              7              0              7              
Vardas362            Pavarde362            6              9              3              0              5              3              6              5              7              8              10             
Vardas363            Pavarde363            1              0              10             7              2              8              2              4              6              7              8              
Vardas364            Pavarde364            10             5              3              1              8              10             4              6              5              0              1              
Vardas365            Pavarde365            6              8              0              6              6              6              10             10             9              7              2              
Vardas366            Pavarde366            7              3              4              8              0              1              10             0              6              5              7              
Vardas367            Pavarde367            0              3              4              8              8              1              1              10             0              8              5              
Vardas368            Pavarde368            6              1              7              5              1              4              1              0              4              4              0              
Vardas369            Pavarde369            7              3              6              7              0              7              10             9              8              8              5              
Vardas370            Pavarde370            9              3              3              6              9              0              8              6              3              3              1              
Vardas371            Pavarde371            0              0              7              7              5              3              2              1              5              10             3              
Vardas372            Pavarde372            1              7              10             7              3              2              5              0              7              9              3              
Vardas373            Pavarde373            10             4              9              7              8              8              9              0              1              1              8              
Vardas374            Pavarde374            6              9              5              3              6              6              5              9              2              7              3              
Vardas375            Pavarde375            4              5              4              10             4              7              6              1              4              4              5              
Vardas376            Pavarde376            1              10             8              3              6              2              0              8              6              5              3              
Vardas377            Pavarde377            1              5              4              6              0              9              9              7              4              5              0              
Vardas378            Pavarde378            8              10             10             9              2              2              1              5              8              8              5              
Vardas379            Pavarde379            0              3              9              0              2              1              7              7              2              1              3              
Vardas380            Pavarde380            1              3              0              8              1              6              6              8              2              4              6              
Vardas381            Pavarde381            1              6              5              3              9              2              5              8              5              7              9              
Vardas382            Pavarde382            7              2              4              10             6              10             5              0              0              6              6              
Vardas383            Pavarde383            6              9              8              3              4              1              5              7              10             9              9              
Vardas384            Pavarde384            10             9              4              2              7              6              9              7              0              4              4              
Vardas385            Pavarde385            6              8              1              3              10             7              5              6              8              2              2              
Vardas386            Pavarde386            3              6              2              2              0              10             2              4              4              5              3              
Vardas387            Pavarde387            5              8              3              2              3              5              3              0              2              8              0              
Vardas388            Pavarde388            10             7              0              5              2              6              9              10             1              5              7              
Vardas389            Pavarde389            3              4              8              5              1              3              6              6              7              7              10             
Vardas390            Pavarde390            6              10             9              8              6              10             7              3              1              10             4              
Vardas391            Pavarde391            9              5              4              5              1              2              5              10             4              1              5              
Vardas392            Pavarde392            7              2              1              8              10             3              6              1              1              6              3              
Vardas393            Pavarde393            4              5              7              8              6              1              2              0              2              6              3              
Vardas394            Pavarde394            6              10             1              7              9              9              10             2              10             9              2              
Vardas395            Pavarde395            6              9              10             3              1              6              3              2              8              4              7              
Vardas396            Pavarde396            9              3              2              9              9              6              7              6              6              0              6              
Vardas397            Pavarde397            9              5              5              4              4              6              7              7              4              4              6              
Vardas398            Pavarde398            2              9              1              0              0              9              3              6              3              5              7              
Vardas399            Pavarde399            7              5              7              5              8              5              6              7              1              0              6              
Vardas400            Pavarde400            6              2              3              5              4              5              8              1              6              3              3              
Vardas401            Pavarde401            1              8              7              7              7              1              6              9              0              10             9              
Vardas402            Pavarde402            4              1              3              0              3              1              3              8              0              10             5              
Vardas403            Pavarde403            2              7              8              1              9              8              3              5              0              8              9              
Vardas404            Pavarde404            0              8              7              6              2              1              7              8              5              7              5              
Vardas405            Pavarde405            1              1              2              5              9              7              2              6              9              9              0              
Vardas406            Pavarde406            9              4              3              5              10             9              7              4              2              0              0              
Vardas407            Pavarde407            5              8              3              8              5              0              8              10             3              6              6              
Vardas408            Pavarde408            8              6              3              4              8              9              7              0              1              5              8              
Vardas409            Pavarde409            8              3              2              7              6              8              8              1              0              3              8              
Vardas410            Pavarde410            5              4              9              3              8              1              3              0              2              1              3              
Vardas411            Pavarde411            2              5              0              3              9              10             3              2              10             8              3              
Vardas412            Pavarde412            7              7              9              0              0              0              8              1              0              3              2              
Vardas413            Pavarde413            2              1              4              6              10             2              5              10             0              0              9              
Vardas414            Pavarde414            9              7              2              1              7              0              8              3              7              6              9              
Vardas415            Pavarde415            7              3              1              9              8              0              1              5              3              7              8              
Vardas416            Pavarde416            5              9              2              6              0              6              3              5              0              7              3              
Vardas417            Pavarde417            2              1              0              6              8              9              6              5              8              10             1              
Vardas418            Pavarde418            9              1              5              2              9              9              10             6              10             2              2              
Vardas419            Pavarde419            9              2              9              0              1              1              9              7              1              4              9              
Vardas420            Pavarde420            3              4              2              1              2              10             9              1              1              9              3              
Vardas421            Pavarde421            3              1              10             0              3              2              1              9              9              6              3              
Vardas422            Pavarde422            10             8              10             1              6              7              5              7              6              6              3              
Vardas423            Pavarde423            3              3              0              2              7              2              3              7              3              10             9              
Vardas424            Pavarde424            7              6              3              2              1              7              2              8              6              0              0              
Vardas425            Pavarde425            7              3              5              10             3              9              7              9              3              0              5              
Vardas426            Pavarde426            2              10             6              5              8              5              0              3              3              10             8              
Vardas427            Pavarde427            6              1              8              4              2              1              8              4              2              3              1              
Vardas428            Pavarde428            7              4              2              5              3              6              2              2              1              6              0              
Vardas429            Pavarde429            7              6              6              6              3              5              4              4              0              2              10             
Vardas430            Pavarde430            5              10             2              3              4              9              8              8              7              5              6              
Vardas431            Pavarde431            7              5              1              6              7              0              4              7              4              2              8              
Vardas432            Pavarde432            5              1              1              4              6              3              7              5              10             9              6              
Vardas433            Pavarde433            10             9              6              1              2              9              6              2              0              4              4              
Vardas434            Pavarde434            2              2              0              7              2              9              7              8              2              3              7              
Vardas435            Pavarde435            3              6              0              2              2              5              9              1              8              2              2              
Vardas436            Pavarde436            9              9              4              9              10             8              3              0              4              10             4              
Vardas437            Pavarde437            6              2              9              6              8              10             8              8              8              8              4              
Vardas438            Pavarde438            0              4              10             1              7              6              5              1              1              8              8              
Vardas439            Pavarde439            10             10             2              8              0              3              3              3              2              6              6              
Vardas440            Pavarde440            4              0              9              5              0              8              3              6              7              5              7              
Vardas441            Pavarde441            0              4              0              9              3              8              3              4              8              4              5              
Vardas442            Pavarde442            2              7              5              1              8              1              5              5              7              5              1              
Vardas443            Pavarde443            0              3              9              8              2              6              4              8              3              0              8              
Vardas444            Pavarde444            1              6              1              3              10             3              5              2              6              0              4              
Vardas445            Pavarde445            5              2              2              5              2              7              9              8              10             8              7              
Vardas446            Pavarde446            2              5              6              10             3              2              2              7              6              7              4              
Vardas447            Pavarde447            1              0              0              5              10             0              4              1              3              0              6              
Vardas448            Pavarde448            0              2              8              9              8              0              3              8              10             5              5              
Vardas449            Pavarde449            0              4              5              0              2              4              9              5              5              8              6              
Vardas450            Pavarde450            6              9              0              9              10             4              3              9              1              10             10             
Vardas451            Pavarde451            3              6              3              9              7              6              7              8              6              3              8              
Vardas452            Pavarde452            1              0              2              10             2              4              10             3              5              6              4              
Vardas453            Pavarde453            1              3              5              10             10             4              1              1              10             7              2              
Vardas454            Pavarde454            8              10             1              10             5              9              6              9              4              6              0              
Vardas455            Pavarde455            10             8              10             5              6              4              4              9              10             1              4              
Vardas456            Pavarde456            10             5              8              1              3              1              6              5              5              0              4              
Vardas457            Pavarde457            8              3              2              4              7              0              2              4              3              5              3              
Vardas458            Pavarde458            7              3              7              3              0              8              7              6              1              0              3              
Vardas459            Pavarde459            8              8              1              4              5              6              0              1              6              9              0              
Vardas460            Pavarde460            4              0              6              5              10             8              5              4              10             10             7              
Vardas461            Pavarde461            1              1              3              9              3              0              8              5              10             5              1              
Vardas462            Pavarde462            3              9              8              2              2              9              4              8              2              4              9              
Vardas463            Pavarde463            4              7              1              7              10             3              4              1              2              3              0              
Vardas464            Pavarde464            5              2              5              5              5              1              9              0              1              4              6              
Vardas465            Pavarde465            3              8              2              9              4              6              9              3              5              3              10             
Vardas466            Pavarde466            8              5              9              9              5              1              0              4              9              0              1              
Vardas467            Pavarde467            10             1              1              7              1              3              0              7              1              10             1              
Vardas468            Pavarde468            5              4              9              9              6              1              2              5              1              5              0              
Vardas469            Pavarde469            9              0              3              9              6              4              4              0              8              0              3              
Vardas470            Pavarde470            0              4              2              10             0              3              6              2              7              7              2              
Vardas471            Pavarde471            8              10             2              5              5              10             6              4              3              3              1              
Vardas472            Pavarde472            1              1              1              6              4              1              5              5              0              9              2              
Vardas473            Pavarde473            3              2              10             6              2              9              0              0              10             4              9              
Vardas474            Pavarde474            3              8              6              2              4              4              2              0              5              6              6              
Vardas475            Pavarde475            2              5              10             2              0              0              7              3              9              6              2              
Vardas476            Pavarde476            6              2              2              7              1              2              7              1              7              3              7              
