Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8           Egz.
Vardas2819           Pavarde2819           3              9              4              4              9              0              7              1              4              
Vardas2820           Pavarde2820           1              2              4              3              3              4              3              0              6              
Vardas2821           Pavarde2821           9              3              5              8              2              5              5              2              8              
Vardas2822           Pavarde2822           3              7              6              5              6              2              4              2              7              
Vardas2823           Pavarde2823           8              6              6              3              9              4              3              10             3              
Vardas2824           Pavarde2824           5              6              7              1              3              9              0              9              0              
Vardas2825           Pavarde2825           4              4              8              0              9              2              2              7              2              
Vardas2826           Pavarde2826           4              5              1              6              7              6              8              8              6              
Vardas2827           Pavarde2827           4              4              8              10             9              5              9              6              10             
Vardas2828           Pavarde2828           0              8              5              7              10             1              9              2              7              
Vardas2829           Pavarde2829           2              8              5              2              7              0              8              5              2              
Vardas2830           Pavarde2830           6              5              10             9              3              1              6              8              6              
Vardas2831           Pavarde2831           0              10             3              8              2              1              2              2              6              
Vardas2832           Pavarde2832           8              4              6              7              9              8              4              10             0              
Vardas2833           Pavarde2833           10             4              5              4              0              0              2              0              5              
Vardas2834           Pavarde2834           4              8              3              2              10             5              4              5              2              
Vardas2835           Pavarde2835           7              0              4              2              9              8              9              3              2              
Vardas2836           Pavarde2836           0              4              5              0              1              4              4              4              5              
Vardas2837           Pavarde2837           6              4              0              9              5              8              9              6              2              
Vardas2838           Pavarde2838           4              5              3              9              2              0              0              6              2              
Vardas2839           Pavarde2839           3              0              3              3              7              9              6              4              1              
Vardas2840           Pavarde2840           5              8              1              4              1              2              9              5              1              
Vardas2841           Pavarde2841           2              1              4              0              7              10             9              3              8              
Vardas2842           Pavarde2842           0              1              0              9              7              7              2              2              3              
Vardas2843           Pavarde2843           1              5              1              9              7              10             2              6              7              
Vardas2844           Pavarde2844           2              1              3              6              1              6              10             10             2              
Vardas2845           Pavarde2845           7              4              0              0              0              1              9              1              4              
Vardas2846           Pavarde2846           0              4              9              10             3              0              5              7              9              
Vardas2847           Pavarde2847           4              7              3              8              6              5              8              4              6              
Vardas2848           Pavarde2848           9              1              4              2              7              0              1              5              10             
Vardas2849           Pavarde2849           7              1              2              9              9              6              1              9              0              
Vardas2850           Pavarde2850           1              9              5              2              5              7              9              0              10             
Vardas2851           Pavarde2851           10             5              4              5              7              7              1              9              6              
Vardas2852           Pavarde2852           2              0              9              2              10             0              10             0              4              
Vardas2853           Pavarde2853           10             4              9              2              1              0              10             6              6              
Vardas2854           Pavarde2854           2              4              0              1              0              2              4              5              4              
Vardas2855           Pavarde2855           3              4              6              8              6              9              6              1              7              
Vardas2856           Pavarde2856           8              3              6              3              10             2              1              3              2              
Vardas2857           Pavarde2857           1              6              0              9              1              0              6              5              7              
Vardas2858           Pavarde2858           7              9              6              3              9              0              8              9              3              
Vardas2859           Pavarde2859           8              2              5              10             3              5              7              7              10             
Vardas2860           Pavarde2860           0              3              9              1              4              3              8              2              3              
Vardas2861           Pavarde2861           0              8              6              7              10             6              9              4              1              
Vardas2862           Pavarde2862           10             10             10             2              1              4              3              10             0              
Vardas2863           Pavarde2863           4              2              0              6              4              1              5              9              9              
Vardas2864           Pavarde2864           8              10             10             0              7              10             2              5              6              
Vardas2865           Pavarde2865           1              10             8              1              6              4              8              2              0              
Vardas2866           Pavarde2866           5              8              5              8              4              5              5              1              7              
Vardas2867           Pavarde2867           3              2              4              7              1              4              4              10             8              
Vardas2868           Pavarde2868           6              6              7              3              9              0              9              0              0              
Vardas2869           Pavarde2869           8              7              5              6              1              6              2              2              5              
Vardas2870           Pavarde2870           1              6              5              4              6              1              0              3              9              
Vardas2871           Pavarde2871           7              6              5              10             9              0              5              2              4              
Vardas2872           Pavarde2872           2              10             8              10             5              5              10             2              4              
Vardas2873           Pavarde2873           1              8              1              9              10             4              10             3              0              
Vardas2874           Pavarde2874           9              4              8              10             3              7              6              6              6              
Vardas2875           Pavarde2875           4              2              9              1              10             9              0              2              2              
Vardas2876           Pavarde2876           8              5              6              8              9              7              5              6              10             
Vardas2877           Pavarde2877           7              0              1              2              1              8              7              10             8              
Vardas2878           Pavarde2878           0              2              7              7              0              1              7              6              6              
Vardas2879           Pavarde2879           0              4              7              9              8              1              3              9              5              
Vardas2880           Pavarde2880           10             5              5              8              4              4              7              4              4              
Vardas2881           Pavarde2881           8              4              0              3              5              2              0              1              3              
Vardas2882           Pavarde2882           5              9              1              7              3              9              0              1              6              
Vardas2883           Pavarde2883           4              9              2              8              9              10             5              9              3              
Vardas2884           Pavarde2884           7              4              7              2              10             8              5              0              2              
Vardas2885           Pavarde2885           7              2              2              4              0              7              5              6              5              
Vardas2886           Pavarde2886           5              4              6              8              7              4              4              6              7              
Vardas2887           Pavarde2887           0              0              1              6              0              8              8              0              10             
Vardas2888           Pavarde2888           6              4              0              6              0              8              2              5              3              
Vardas2889           Pavarde2889           10             7              5              2              3              2              5              10             4              
Vardas2890           Pavarde2890           10             8              9              1              10             1              8              2              4              
Vardas2891           Pavarde2891           0              0              2              6              4              3              10             3              5              
Vardas2892           Pavarde2892           2              4              9              6              7              6              3              8              9              
Vardas2893           Pavarde2893           0              2              8              8              7              4              3              3              9              
Vardas2894           Pavarde2894           1              1              7              9              6              5              3              9              6              
Vardas2895           Pavarde2895           2              7              2              4              3              3              10             7              7              
Vardas2896           Pavarde2896           8              3              2              5              2              5              6              4              9              
Vardas2897           Pavarde2897           2              9              1              6              6              8              0              10             3              
Vardas2898           Pavarde2898           5              2              3              4              4              1              2              5              2              
Vardas2899           Pavarde2899           3              10             2              4              8              8              2              2              10             
Vardas2900           Pavarde2900           4              0              4              3              6              9              2              5              2              
Vardas2901           Pavarde2901           2              7              4              2              2              4              3              2              7              
Vardas2902           Pavarde2902           7              4              7              10             6              9              10             10             2              
Vardas2903           Pavarde2903           7              4              7              9              6              5              3              5              7              
Vardas2904           Pavarde2904           0              9              8              9              0              6              0              6              5              
Vardas2905           Pavarde2905           8              0              8              8              4              10             1              0              1              
Vardas2906           Pavarde2906           3              9              7              7              2              5              5              3              1              
Vardas2907           Pavarde2907           5              0              5              0              8              4              8              1              2              
Vardas2908           Pavarde2908           4              1              8              9              10             6              4              4              8              
Vardas2909           Pavarde2909           2              8              7              2              4              5              1              0              10             
Vardas2910           Pavarde2910           7              7              7              7              5              4              2              2              1              
Vardas2911           Pavarde2911           1              2              9              7              8              0              6              0              7              
Vardas2912           Pavarde2912           0              6              5              4              4              7              7              9              9              
Vardas2913           Pavarde2913           8              7              7              5              1              4              6              9              5              
Vardas2914           Pavarde2914           0              0              10             9              6              7              6              3              9              
Vardas2915           Pavarde2915           7              2              9              0              5              5              6              10             1              
Vardas2916           Pavarde2916           8              10             5              0              3              4              4              5              7              
Vardas2917           Pavarde2917           1              6              5              0              2              6              1              1              8              
Vardas2918           Pavarde2918           8              2              2              6              2              7              10             3              0              
Vardas2919           Pavarde2919           4              1              4              10             3              4              1              6              6              
Vardas2920           Pavarde2920           10             9              3              5              1              10             4              10             8              
Vardas2921           Pavarde2921           3              10             8              4              7              3              8              3              5              
Vardas2922           Pavarde2922           2              10             4              4              6              6              10             3              6              
Vardas2923           Pavarde2923           7              10             4              1              8              10             0              1              0              
Vardas2924           Pavarde2924           4              2              2              4              3              1              2              3              0              
Vardas2925           Pavarde2925           8              7              9              5              6              4              1              0              8              
Vardas2926           Pavarde2926           7              2              6              10             3              5              8              2              10             
Vardas2927           Pavarde2927           3              9              8              3              2              9              8              5              4              
Vardas2928           Pavarde2928           3              9              5              9              6              9              10             10             10             
Vardas2929           Pavarde2929           3              8              2              7              1              9              7              0              10             
Vardas2930           Pavarde2930           10             5              7              4              7              7              5              5              5              
Vardas2931           Pavarde2931           9              6              8              6              7              5              0              2              8              
Vardas2932           Pavarde2932           7              2              5              1              6              3              0              10             7              
Vardas2933           Pavarde2933           6              5              0              6              0              9              6              3              2              
Vardas2934           Pavarde2934           1              2              7              10             2              0              5              1              8              
Vardas2935           Pavarde2935           10             8              1              9              0              8              4              2              7              
Vardas2936           Pavarde2936           8              9              0              6              1              10             5              4              6              
Vardas2937           Pavarde2937           9              4              5              8              1              3              5              4              1              
Vardas2938           Pavarde2938           10             5              4              1              8              3              10             1              9              
Vardas2939           Pavarde2939           6              5              5              4              2              4              7              1              2              
Vardas2940           Pavarde2940           9              5              7              10             3              8              10             3              2              
Vardas2941           Pavarde2941           5              2              8              0              2              3              10             3              4              
Vardas2942           Pavarde2942           6              10             10             10             9              0              8              2              6              
Vardas2943           Pavarde2943           4              0              6              1              2              9              1              2              8              
Vardas2944           Pavarde2944           9              2              6              2              7              0              6              3              3              
Vardas2945           Pavarde2945           10             10             1              1              9              4              7              1              9              
Vardas2946           Pavarde2946           2              5              10             1              1              7              3              4              1              
Vardas2947           Pavarde2947           3              8              7              7              1              6              8              9              4              
Vardas2948           Pavarde2948           10             8              9              5              8              5              7              2              3              
Vardas2949           Pavarde2949           2              10             8              3              9              8              8              4              3              
Vardas2950           Pavarde2950           3              3              7              4              7              1              9              1              1              
Vardas2951           Pavarde2951           7              0              5              0              9              5              3              1              6              
Vardas2952           Pavarde2952           8              5              4              9              6              4              6              8              8              
Vardas2953           Pavarde2953           5              10             8              1              4              1              2              0              1              
Vardas2954           Pavarde2954           1              4              9              5              8              6              6              10             4              
Vardas2955           Pavarde2955           6              3              2              8              0              7              6              10             7              
Vardas2956           Pavarde2956           6              2              9              10             1              6              9              4              10             
Vardas2957           Pavarde2957           1              4              6              2              1              10             0              3              5              
Vardas2958           Pavarde2958           8              0              8              0              7              8              3              9              0              
Vardas2959           Pavarde2959           1              2              3              10             10             1              7              7              0              
Vardas2960           Pavarde2960           4              3              7              10             4              3              1              8              6              
Vardas2961           Pavarde2961           4              5              3              3              7              4              0              7              9              
Vardas2962           Pavarde2962           8              7              1              9              5              6              8              1              5              
Vardas2963           Pavarde2963           5              6              9              9              0              8              9              6              9              
Vardas2964           Pavarde2964           1              7              4              2              9              1              9              3              0              
Vardas2965           Pavarde2965           2              0              10             0              6              6              7              2              1              
Vardas2966           Pavarde2966           8              10             3              5              0              10             4              1              4              
Vardas2967           Pavarde2967           6              9              0              3              3              4              1              6              1              
Vardas2968           Pavarde2968           4              8              6              3              5              4              4              1              8              
Vardas2969           Pavarde2969           0              3              3              1              1              6              10             9              8              
Vardas2970           Pavarde2970           0              5              3              2              0              3              4              1              8              
Vardas2971           Pavarde2971           10             2              4              7              3              2              2              9              8              
Vardas2972           Pavarde2972           6              9              2              1              9              7              9              9              6              
Vardas2973           Pavarde2973           2              6              0              10             0              9              8              8              4              
Vardas2974           Pavarde2974           5              1              5              6              0              1              4              0              1              
Vardas2975           Pavarde2975           2              0              1              0              6              6              9              4              9              
Vardas2976           Pavarde2976           8              5              10             4              7              7              10             3              4              
Vardas2977           Pavarde2977           0              4              0              2              2              5              1              1              6              
Vardas2978           Pavarde2978           1              1              3              1              5              2              10             5              0              
Vardas2979           Pavarde2979           8              5              10             9              7              2              4              3              2              
Vardas2980           Pavarde2980           1              3              0              4              4              2              5              5              9              
Vardas2981           Pavarde2981           2              5              3              2              7              2              4              5              10             
Vardas2982           Pavarde2982           3              6              7              5              6              7              8              8              7              
Vardas2983           Pavarde2983           10             4              3              10             1              8              2              5              5              
Vardas2984           Pavarde2984           9              2              4              8              6              6              3              1              4              
Vardas2985           Pavarde2985           5              3              4              6              7              10             8              10             1              
Vardas2986           Pavarde2986           9              10             10             7              6              7              10             8              10             
Vardas2987           Pavarde2987           9              7              2              4              0              3              9              4              1              
Vardas2988           Pavarde2988           2              8              3              10             4              3              8              4              2              
Vardas2989           Pavarde2989           0              5              0              5              10             10             7              2              4              
Vardas2990           Pavarde2990           4              5              8              0              6              5              7              0              2              
Vardas2991           Pavarde2991           2              3              1              10             9              7              10             2              4              
Vardas2992           Pavarde2992           5              3              1              9              5              3              0              2              4              
Vardas2993           Pavarde2993           8              4              3              0              9              0              10             1              3              
Vardas2994           Pavarde2994           1              9              6              6              8              10             1              8              10             
Vardas2995           Pavarde2995           0              1              10             1              1              0              6              2              6              
Vardas2996           Pavarde2996           8              8              9              0              4              8              4              9              2              
Vardas2997           Pavarde2997           1              0              0              1              2              6              7              10             1              
Vardas2998           Pavarde2998           9              5              3              6              3              9              10             1              1              
Vardas2999           Pavarde2999           1              0              8              5              0              0              5              10             6              
Vardas3000           Pavarde3000           0              10             0              4              4              7              2              9              8              
Vardas3001           Pavarde3001           0              10             6              4              9              7              1              6              10             
Vardas3002           Pavarde3002           2              8              0              9              3              6              5              1              6              
Vardas3003           Pavarde3003           5              6              0              0              7              6              2              5              1              
Vardas3004           Pavarde3004           3              10             6              10             9              3              7              0              9              
Vardas3005           Pavarde3005           6              6              9              1              5              0              8              10             7              
Vardas3006           Pavarde3006           5              8              0              1              7              0              1              6              6              
Vardas3007           Pavarde3007           2              1              4              0              5              9              7              9              3              
Vardas3008           Pavarde3008           1              7              6              6              7              2              9              7              8              
Vardas3009           Pavarde3009           10             8              2              1              4              8              6              7              10             
Vardas3010           Pavarde3010           2              1              8              10             3              5              7              6              3              
Vardas3011           Pavarde3011           1              2              4              9              0              10             9              0              10             
Vardas3012           Pavarde3012           2              8              5              0              5              7              5              2              4              
Vardas3013           Pavarde3013           9              10             9              3              5              8              7              9              1              
Vardas3014           Pavarde3014           2              3              0              8              8              4              1              5              7              
Vardas3015           Pavarde3015           10             1              7              4              9              9              4              6              10             
Vardas3016           Pavarde3016           7              4              3              0              6              9              2              7              10             
Vardas3017           Pavarde3017           7              0              6              4              2              9              8              4              9              
Vardas3018           Pavarde3018           6              7              0              0              0              7              9              0              4              
Vardas3019           Pavarde3019           8              0              4              8              6              10             9              10             0              
Vardas3020           Pavarde3020           5              7              0              1              2              1              6              0              6              
Vardas3021           Pavarde3021           3              0              7              8              9              1              3              10             9              
Vardas3022           Pavarde3022           6              10             5              1              0              10             4              9              9              
Vardas3023           Pavarde3023           0              2              1              7              2              7              10             10             9              
Vardas3024           Pavarde3024           0              0              8              1              0              0              2              1              1              
Vardas3025           Pavarde3025           10             8              10             2              8              3              1              6              1              
Vardas3026           Pavarde3026           10             6              0              7              9              8              0              2              1              
Vardas3027           Pavarde3027           8              10             3              6              3              3              4              7              5              
Vardas3028           Pavarde3028           8              5              5              3              7              1              5              9              8              
Vardas3029           Pavarde3029           7              10             9              5              5              10             6              2              2              
Vardas3030           Pavarde3030           2              5              1              0              3              1              9              6              5              
Vardas3031           Pavarde3031           1              3              6              3              2              0              9              1              4              
Vardas3032           Pavarde3032           0              1              5              6              9              8              8              3              0              
Vardas3033           Pavarde3033           10             2              4              3              9              7              4              9              0              
Vardas3034           Pavarde3034           3              4              3              4              8              4              8              5              4              
Vardas3035           Pavarde3035           3              4              0              1              1              7              8              8              7              
Vardas3036           Pavarde3036           9              0              2              7              8              1              0              2              5              
Vardas3037           Pavarde3037           9              2              3              2              7              7              5              6              5              
Vardas3038           Pavarde3038           7              1              5              10             2              6              0              9              3              
Vardas3039           Pavarde3039           0              3              4              1              3              4              7              7              0              
Vardas3040           Pavarde3040           8              6              6              8              10             4              5              2              7              
Vardas3041           Pavarde3041           8              7              2              7              5              4              2              0              0              
Vardas3042           Pavarde3042           3              9              4              7              5              7              8              9              6              
Vardas3043           Pavarde3043           5              2              7              7              0              6              10             9              3              
Vardas3044           Pavarde3044           9              1              5              9              6              3              7              2              6              
Vardas3045           Pavarde3045           7              7              8              1              8              0              10             4              10             
Vardas3046           Pavarde3046           1              0              7              9              7              0              5              1              6              
Vardas3047           Pavarde3047           7              6              9              1              3              8              5              2              10             
Vardas3048           Pavarde3048           1              4              1              6              10             9              6              9              6              
Vardas3049           Pavarde3049           2              7              4              2              9              10             5              5              10             
Vardas3050           Pavarde3050           10             9              2              7              4              2              4              7              10             
Vardas3051           Pavarde3051           10             0              3              9              9              3              7              5              8              
Vardas3052           Pavarde3052           2              10             6              0              1              0              8              3              4              
Vardas3053           Pavarde3053           5              2              2              1              2              4              10             7              8              
Vardas3054           Pavarde3054           7              3              6              3              10             3              4              5              6              
Vardas3055           Pavarde3055           8              3              8              5              5              3              2              4              2              
Vardas3056           Pavarde3056           6              1              6              9              5              4              3              6              10             
Vardas3057           Pavarde3057           1              0              2              1              4              8              9              7              0              
Vardas3058           Pavarde3058           0              10             0              1              6              7              2              5              2              
Vardas3059           Pavarde3059           6              2              4              1              9              5              4              10             3              
Vardas3060           Pavarde3060           6              0              3              10             3              7              6              8              0              
Vardas3061           Pavarde3061           8              5              3              9              0              8              1              6              5              
Vardas3062           Pavarde3062           4              7              1              6              8              4              7              6              9              
Vardas3063           Pavarde3063           4              1              0              3              1              9              2              3              3              
Vardas3064           Pavarde3064           6              5              10             8              3              7              7              0              3              
Vardas3065           Pavarde3065           2              1              8              9              3              0              9              3              0              
Vardas3066           Pavarde3066           4              0              6              1              9              8              5              8              2              
Vardas3067           Pavarde3067           5              6              5              9              6              9              10             2              5              
Vardas3068           Pavarde3068           3              9              6              9              2              3              4              9              8              
Vardas3069           Pavarde3069           5              4              7              4              5              2              1              0              5              
Vardas3070           Pavarde3070           3              0              9              1              8              6              3              6              1              
