Vardas                Pavardė             ND1             ND2             ND3             ND4           Egz.
Vardas580            Pavarde580            4              6              10             4              8              
Vardas581            Pavarde581            0              8              9              8              3              
Vardas582            Pavarde582            6              8              9              3              8              
Vardas583            Pavarde583            2              2              9              7              9              
Vardas584            Pavarde584            3              6              3              9              2              
Vardas585            Pavarde585            7              2              10             10             3              
Vardas586            Pavarde586            7              3              5              4              1              
Vardas587            Pavarde587            0              0              0              9              6              
Vardas588            Pavarde588            7              10             6              0              7              
Vardas589            Pavarde589            1              7              7              9              10             
Vardas590            Pavarde590            10             6              5              9              5              
Vardas591            Pavarde591            4              10             8              10             0              
Vardas592            Pavarde592            7              1              6              2              0              
Vardas593            Pavarde593            10             8              1              6              2              
Vardas594            Pavarde594            3              1              9              0              7              
Vardas595            Pavarde595            1              4              2              1              9              
Vardas596            Pavarde596            10             2              6              4              6              
Vardas597            Pavarde597            4              3              4              5              3              
Vardas598            Pavarde598            6              8              10             6              9              
Vardas599            Pavarde599            3              4              10             3              6              
Vardas600            Pavarde600            6              1              1              5              3              
Vardas601            Pavarde601            7              5              7              2              10             
Vardas602            Pavarde602            8              10             3              0              10             
Vardas603            Pavarde603            7              10             3              2              9              
Vardas604            Pavarde604            0              8              7              8              4              
Vardas605            Pavarde605            8              8              4              5              6              
Vardas606            Pavarde606            3              9              3              7              2              
Vardas607            Pavarde607            0              6              0              3              10             
Vardas608            Pavarde608            6              4              3              3              1              
Vardas609            Pavarde609            2              0              4              0              8              
Vardas610            Pavarde610            5              8              9              3              0              
Vardas611            Pavarde611            5              5              2              10             9              
Vardas612            Pavarde612            1              8              6              3              3              
Vardas613            Pavarde613            2              2              2              6              3              
Vardas614            Pavarde614            2              5              10             0              4              
Vardas615            Pavarde615            1              2              7              2              8              
Vardas616            Pavarde616            3              7              0              3              4              
Vardas617            Pavarde617            4              9              6              2              6              
Vardas618            Pavarde618            5              9              9              7              8              
Vardas619            Pavarde619            7              7              2              0              2              
Vardas620            Pavarde620            9              8              8              7              6              
Vardas621            Pavarde621            1              5              3              7              10             
Vardas622            Pavarde622            2              3              10             1              9              
Vardas623            Pavarde623            10             5              0              3              0              
Vardas624            Pavarde624            7              6              0              8              9              
Vardas625            Pavarde625            1              1              2              10             10             
Vardas626            Pavarde626            5              8              7              6              1              
Vardas627            Pavarde627            8              4              0              1              0              
Vardas628            Pavarde628            6              7              5              1              1              
Vardas629            Pavarde629            8              2              10             10             10             
Vardas630            Pavarde630            3              4              1              0              1              
Vardas631            Pavarde631            9              9              8              3              1              
Vardas632            Pavarde632            1              1              1              3              1              
Vardas633            Pavarde633            5              9              8              10             6              
Vardas634            Pavarde634            3              3              3              1              7              
Vardas635            Pavarde635            2              0              9              4              0              
Vardas636            Pavarde636            6              1              8              10             9              
Vardas637            Pavarde637            2              7              3              2              2              
Vardas638            Pavarde638            1              5              5              1              7              
Vardas639            Pavarde639            1              10             8              7              9              
Vardas640            Pavarde640            8              4              7              9              0              
Vardas641            Pavarde641            2              8              9              7              9              
Vardas642            Pavarde642            3              1              5              10             7              
Vardas643            Pavarde643            8              7              9              8              9              
Vardas644            Pavarde644            6              4              2              6              0              
Vardas645            Pavarde645            7              0              1              3              8              
Vardas646            Pavarde646            6              2              2              8              9              
Vardas647            Pavarde647            4              6              10             10             7              
Vardas648            Pavarde648            9              8              4              6              1              
Vardas649            Pavarde649            6              9              6              6              9              
Vardas650            Pavarde650            7              3              8              6              9              
Vardas651            Pavarde651            1              6              7              7              5              
Vardas652            Pavarde652            9              0              7              0              9              
Vardas653            Pavarde653            1              3              3              9              8              
Vardas654            Pavarde654            4              9              3              4              9              
Vardas655            Pavarde655            8              10             7              7              8              
Vardas656            Pavarde656            0              0              10             5              2              
Vardas657            Pavarde657            10             10             8              6              2              
Vardas658            Pavarde658            8              6              8              9              9              
Vardas659            Pavarde659            9              5              4              1              9              
Vardas660            Pavarde660            0              3              0              5              1              
Vardas661            Pavarde661            4              3              0              4              5              
Vardas662            Pavarde662            4              3              3              5              7              
Vardas663            Pavarde663            6              9              4              1              2              
Vardas664            Pavarde664            10             1              3              3              5              
Vardas665            Pavarde665            6              7              0              2              2              
Vardas666            Pavarde666            7              9              1              6              4              
Vardas667            Pavarde667            8              5              5              5              8              
Vardas668            Pavarde668            9              3              8              8              8              
Vardas669            Pavarde669            1              3              6              0              0              
Vardas670            Pavarde670            1              10             6              1              6              
Vardas671            Pavarde671            8              0              9              10             9              
Vardas672            Pavarde672            4              5              6              9              4              
Vardas673            Pavarde673            8              10             0              8              8              
Vardas674            Pavarde674            0              10             1              4              7              
Vardas675            Pavarde675            1              3              8              3              7              
Vardas676            Pavarde676            9              9              5              7              4              
Vardas677            Pavarde677            6              0              5              4              2              
Vardas678            Pavarde678            1              5              4              6              2              
Vardas679            Pavarde679            6              6              8              10             6              
Vardas680            Pavarde680            2              2              2              0              6              
Vardas681            Pavarde681            7              6              1              1              8              
Vardas682            Pavarde682            2              4              0              0              8              
Vardas683            Pavarde683            0              1              8              7              8              
Vardas684            Pavarde684            5              3              3              8              9              
Vardas685            Pavarde685            9              2              4              7              5              
Vardas686            Pavarde686            1              1              3              4              3              
Vardas687            Pavarde687            2              8              3              9              7              
Vardas688            Pavarde688            9              10             9              7              10             
Vardas689            Pavarde689            0              4              6              1              3              
Vardas690            Pavarde690            8              0              9              2              10             
Vardas691            Pavarde691            2              10             7              8              10             
Vardas692            Pavarde692            7              9              10             3              5              
Vardas693            Pavarde693            3              9              9              5              4              
Vardas694            Pavarde694            9              5              4              6              10             
Vardas695            Pavarde695            3              2              1              1              2              
Vardas696            Pavarde696            8              1              9              0              10             
Vardas697            Pavarde697            6              8              0              0              2              
Vardas698            Pavarde698            0              9              5              1              6              
Vardas699            Pavarde699            2              10             1              2              10             
Vardas700            Pavarde700            0              10             1              5              4              
Vardas701            Pavarde701            0              5              9              3              7              
Vardas702            Pavarde702            9              7              7              4              2              
Vardas703            Pavarde703            5              0              6              4              4              
Vardas704            Pavarde704            10             6              9              4              2              
Vardas705            Pavarde705            3              1              10             2              8              
Vardas706            Pavarde706            5              3              3              3              7              
Vardas707            Pavarde707            10             10             3              7              5              
Vardas708            Pavarde708            0              9              9              10             5              
Vardas709            Pavarde709            10             3              1              8              3              
Vardas710            Pavarde710            10             1              5              3              3              
Vardas711            Pavarde711            5              3              4              2              3              
Vardas712            Pavarde712            3              6              4              5              3              
Vardas713            Pavarde713            8              10             8              10             9              
Vardas714            Pavarde714            7              4              0              5              10             
Vardas715            Pavarde715            9              2              7              3              7              
Vardas716            Pavarde716            4              2              2              5              7              
Vardas717            Pavarde717            0              0              2              0              9              
Vardas718            Pavarde718            9              8              8              7              0              
Vardas719            Pavarde719            8              9              4              6              10             
Vardas720            Pavarde720            1              6              5              3              5              
Vardas721            Pavarde721            9              10             1              5              0              
Vardas722            Pavarde722            5              7              9              6              8              
Vardas723            Pavarde723            6              9              5              1              4              
Vardas724            Pavarde724            10             8              2              5              8              
Vardas725            Pavarde725            10             5              2              10             3              
Vardas726            Pavarde726            5              4              4              0              3              
Vardas727            Pavarde727            1              4              2              0              8              
Vardas728            Pavarde728            9              5              7              9              5              
Vardas729            Pavarde729            10             8              10             6              8              
Vardas730            Pavarde730            3              5              10             7              5              
Vardas731            Pavarde731            2              1              4              5              8              
Vardas732            Pavarde732            3              8              10             3              7              
Vardas733            Pavarde733            9              3              7              6              6              
Vardas734            Pavarde734            0              3              5              3              4              
Vardas735            Pavarde735            7              10             5              7              10             
Vardas736            Pavarde736            6              7              10             9              6              
Vardas737            Pavarde737            4              3              0              9              4              
Vardas738            Pavarde738            8              6              1              3              8              
Vardas739            Pavarde739            10             1              10             5              1              
Vardas740            Pavarde740            9              10             3              7              5              
Vardas741            Pavarde741            2              2              6              0              8              
Vardas742            Pavarde742            8              5              4              8              4              
Vardas743            Pavarde743            7              0              3              7              8              
Vardas744            Pavarde744            6              6              9              0              2              
Vardas745            Pavarde745            9              7              4              6              3              
Vardas746            Pavarde746            8              2              10             0              6              
Vardas747            Pavarde747            1              1              2              3              2              
Vardas748            Pavarde748            3              9              7              8              10             
Vardas749            Pavarde749            3              3              2              4              9              
Vardas750            Pavarde750            7              0              10             6              5              
Vardas751            Pavarde751            9              2              8              10             10             
Vardas752            Pavarde752            10             4              7              1              9              
Vardas753            Pavarde753            4              3              4              10             9              
Vardas754            Pavarde754            4              0              5              7              7              
Vardas755            Pavarde755            2              9              0              1              0              
Vardas756            Pavarde756            8              9              4              6              0              
Vardas757            Pavarde757            9              10             0              5              3              
Vardas758            Pavarde758            2              6              9              5              5              
Vardas759            Pavarde759            0              6              9              1              2              
Vardas760            Pavarde760            2              2              2              1              5              
Vardas761            Pavarde761            0              9              1              7              0              
Vardas762            Pavarde762            3              3              4              0              5              
Vardas763            Pavarde763            4              5              5              5              6              
Vardas764            Pavarde764            7              10             7              0              8              
Vardas765            Pavarde765            8              1              7              5              7              
Vardas766            Pavarde766            3              8              0              6              3              
Vardas767            Pavarde767            1              6              4              1              4              
Vardas768            Pavarde768            4              0              5              9              10             
Vardas769            Pavarde769            6              2              4              10             2              
Vardas770            Pavarde770            10             6              10             10             6              
Vardas771            Pavarde771            10             2              1              9              6              
Vardas772            Pavarde772            0              4              4              8              3              
Vardas773            Pavarde773            8              2              6              0              8              
Vardas774            Pavarde774            9              9              5              3              4              
Vardas775            Pavarde775            5              8              6              8              9              
Vardas776            Pavarde776            5              0              1              4              4              
Vardas777            Pavarde777            0              0              9              9              0              
Vardas778            Pavarde778            9              9              4              6              0              
Vardas779            Pavarde779            4              4              3              4              3              
Vardas780            Pavarde780            1              10             5              2              6              
Vardas781            Pavarde781            4              8              10             6              10             
Vardas782            Pavarde782            0              5              4              0              2              
Vardas783            Pavarde783            7              8              5              5              10             
Vardas784            Pavarde784            1              8              7              3              8              
Vardas785            Pavarde785            6              1              2              5              8              
Vardas786            Pavarde786            10             4              6              5              9              
Vardas787            Pavarde787            6              8              5              10             7              
Vardas788            Pavarde788            3              9              2              2              3              
Vardas789            Pavarde789            3              6              6              10             5              
Vardas790            Pavarde790            5              2              5              6              2              
Vardas791            Pavarde791            3              3              5              4              3              
Vardas792            Pavarde792            9              6              1              6              1              
Vardas793            Pavarde793            9              8              0              4              9              
Vardas794            Pavarde794            9              6              9              10             9              
Vardas795            Pavarde795            0              8              7              0              9              
Vardas796            Pavarde796            9              1              6              1              4              
Vardas797            Pavarde797            7              4              4              1              1              
Vardas798            Pavarde798            2              6              3              9              9              
Vardas799            Pavarde799            10             2              7              8              8              
Vardas800            Pavarde800            1              4              2              5              9              
Vardas801            Pavarde801            3              5              2              3              8              
Vardas802            Pavarde802            10             7              9              7              0              
Vardas803            Pavarde803            8              6              5              7              10             
Vardas804            Pavarde804            7              10             3              7              3              
Vardas805            Pavarde805            2              9              9              0              0              
Vardas806            Pavarde806            10             2              6              1              7              
Vardas807            Pavarde807            4              3              4              8              8              
Vardas808            Pavarde808            0              5              1              10             3              
Vardas809            Pavarde809            6              6              2              0              3              
Vardas810            Pavarde810            8              9              4              5              3              
Vardas811            Pavarde811            0              2              8              2              2              
Vardas812            Pavarde812            1              2              1              10             5              
Vardas813            Pavarde813            3              5              4              0              3              
Vardas814            Pavarde814            6              5              0              10             8              
Vardas815            Pavarde815            6              5              8              6              0              
Vardas816            Pavarde816            10             4              0              1              10             
Vardas817            Pavarde817            1              8              5              7              7              
Vardas818            Pavarde818            0              8              7              6              5              
Vardas819            Pavarde819            2              9              10             9              9              
Vardas820            Pavarde820            5              3              10             7              7              
Vardas821            Pavarde821            0              6              7              6              3              
Vardas822            Pavarde822            5              8              1              7              3              
Vardas823            Pavarde823            3              1              8              2              8              
Vardas824            Pavarde824            3              9              4              3              4              
Vardas825            Pavarde825            7              0              1              3              3              
Vardas826            Pavarde826            3              10             8              3              3              
Vardas827            Pavarde827            6              5              2              3              2              
Vardas828            Pavarde828            5              9              7              0              4              
Vardas829            Pavarde829            6              3              4              9              1              
Vardas830            Pavarde830            1              8              7              5              1              
Vardas831            Pavarde831            7              4              5              0              2              
Vardas832            Pavarde832            2              7              6              6              9              
Vardas833            Pavarde833            4              10             9              8              0              
Vardas834            Pavarde834            3              1              1              4              5              
Vardas835            Pavarde835            0              7              7              6              3              
Vardas836            Pavarde836            10             5              10             4              10             
Vardas837            Pavarde837            8              4              3              3              5              
Vardas838            Pavarde838            4              0              1              3              3              
Vardas839            Pavarde839            8              7              10             9              7              
Vardas840            Pavarde840            1              5              1              10             8              
Vardas841            Pavarde841            6              1              1              1              7              
Vardas842            Pavarde842            5              7              4              4              4              
Vardas843            Pavarde843            9              1              3              9              6              
Vardas844            Pavarde844            1              9              9              1              9              
Vardas845            Pavarde845            9              5              6              9              1              
Vardas846            Pavarde846            4              6              7              1              6              
Vardas847            Pavarde847            5              9              10             10             9              
Vardas848            Pavarde848            4              1              3              9              8              
Vardas849            Pavarde849            9              5              5              0              4              
Vardas850            Pavarde850            7              10             3              5              7              
Vardas851            Pavarde851            4              6              1              6              3              
Vardas852            Pavarde852            8              5              7              1              5              
Vardas853            Pavarde853            7              5              10             3              9              
Vardas854            Pavarde854            1              3              2              1              2              
Vardas855            Pavarde855            8              4              8              8              5              
Vardas856            Pavarde856            7              2              8              8              2              
Vardas857            Pavarde857            10             3              9              5              9              
Vardas858            Pavarde858            7              7              0              6              1              
Vardas859            Pavarde859            1              0              6              7              1              
Vardas860            Pavarde860            1              10             2              1              3              
Vardas861            Pavarde861            6              8              5              2              1              
Vardas862            Pavarde862            6              8              5              8              2              
Vardas863            Pavarde863            9              1              4              9              7              
Vardas864            Pavarde864            4              2              6              9              6              
Vardas865            Pavarde865            2              0              0              1              6              
Vardas866            Pavarde866            3              8              8              6              2              
Vardas867            Pavarde867            8              8              5              8              3              
Vardas868            Pavarde868            4              10             3              7              9              
Vardas869            Pavarde869            5              4              8              1              10             
Vardas870            Pavarde870            6              10             3              8              1              
Vardas871            Pavarde871            10             3              0              9              0              
Vardas872            Pavarde872            9              6              8              8              8              
Vardas873            Pavarde873            8              6              4              1              6              
Vardas874            Pavarde874            2              2              7              4              2              
Vardas875            Pavarde875            1              7              1              9              8              
Vardas876            Pavarde876            10             8              9              2              7              
Vardas877            Pavarde877            0              5              2              5              0              
Vardas878            Pavarde878            1              0              1              0              6              
Vardas879            Pavarde879            0              3              3              3              1              
Vardas880            Pavarde880            4              1              1              8              3              
Vardas881            Pavarde881            0              4              8              4              3              
Vardas882            Pavarde882            7              3              3              10             6              
Vardas883            Pavarde883            3              0              7              7              7              
Vardas884            Pavarde884            8              9              3              7              5              
Vardas885            Pavarde885            5              7              3              1              6              
Vardas886            Pavarde886            0              10             2              10             1              
Vardas887            Pavarde887            9              10             4              7              5              
Vardas888            Pavarde888            7              2              4              2              1              
Vardas889            Pavarde889            4              1              6              3              3              
Vardas890            Pavarde890            9              10             5              10             3              
Vardas891            Pavarde891            3              3              2              1              9              
Vardas892            Pavarde892            6              5              7              4              1              
Vardas893            Pavarde893            6              9              1              4              1              
Vardas894            Pavarde894            9              9              3              9              8              
Vardas895            Pavarde895            5              8              9              4              10             
Vardas896            Pavarde896            5              7              9              1              7              
Vardas897            Pavarde897            0              9              2              5              6              
Vardas898            Pavarde898            9              10             1              7              0              
Vardas899            Pavarde899            7              3              1              5              8              
Vardas900            Pavarde900            1              2              0              3              8              
Vardas901            Pavarde901            0              6              3              3              10             
Vardas902            Pavarde902            3              0              1              0              4              
Vardas903            Pavarde903            1              7              0              0              3              
Vardas904            Pavarde904            6              3              2              4              10             
Vardas905            Pavarde905            5              3              9              6              8              
Vardas906            Pavarde906            6              2              1              6              6              
Vardas907            Pavarde907            5              2              6              2              7              
Vardas908            Pavarde908            6              7              2              8              10             
Vardas909            Pavarde909            8              7              6              5              5              
Vardas910            Pavarde910            1              3              0              8              3              
Vardas911            Pavarde911            4              5              1              3              6              
Vardas912            Pavarde912            6              2              3              5              0              
Vardas913            Pavarde913            5              10             8              0              7              
Vardas914            Pavarde914            9              7              1              3              3              
Vardas915            Pavarde915            2              4              2              9              1              
Vardas916            Pavarde916            0              4              8              3              1              
Vardas917            Pavarde917            3              0              9              2              3              
Vardas918            Pavarde918            3              5              0              3              8              
Vardas919            Pavarde919            5              5              3              6              10             
Vardas920            Pavarde920            7              10             4              7              4              
Vardas921            Pavarde921            8              5              10             8              7              
Vardas922            Pavarde922            5              5              6              9              2              
Vardas923            Pavarde923            10             1              10             10             10             
Vardas924            Pavarde924            2              2              6              4              1              
Vardas925            Pavarde925            5              8              4              0              6              
Vardas926            Pavarde926            9              8              10             8              4              
Vardas927            Pavarde927            0              8              10             6              5              
Vardas928            Pavarde928            7              2              6              0              5              
Vardas929            Pavarde929            2              0              3              4              1              
Vardas930            Pavarde930            0              6              0              2              9              
Vardas931            Pavarde931            2              2              7              3              0              
Vardas932            Pavarde932            9              7              10             2              4              
Vardas933            Pavarde933            0              6              6              2              5              
Vardas934            Pavarde934            0              10             0              4              4              
Vardas935            Pavarde935            6              3              7              8              4              
Vardas936            Pavarde936            3              9              2              3              1              
Vardas937            Pavarde937            2              0              9              9              2              
Vardas938            Pavarde938            3              6              2              9              5              
Vardas939            Pavarde939            5              8              5              6              2              
Vardas940            Pavarde940            9              5              4              7              2              
Vardas941            Pavarde941            6              9              5              6              2              
Vardas942            Pavarde942            1              2              10             3              1              
Vardas943            Pavarde943            2              1              5              2              8              
Vardas944            Pavarde944            6              0              6              4              6              
Vardas945            Pavarde945            8              0              1              5              6              
Vardas946            Pavarde946            10             7              10             2              6              
Vardas947            Pavarde947            5              4              8              0              8              
Vardas948            Pavarde948            2              2              1              2              4              
Vardas949            Pavarde949            1              2              7              3              0              
Vardas950            Pavarde950            6              5              6              6              6              
Vardas951            Pavarde951            10             5              10             4              2              
Vardas952            Pavarde952            10             2              6              10             10             
Vardas953            Pavarde953            2              1              6              2              0              
Vardas954            Pavarde954            5              7              5              9              1              
Vardas955            Pavarde955            1              6              2              5              10             
Vardas956            Pavarde956            9              3              4              10             8              
Vardas957            Pavarde957            5              6              1              10             1              
Vardas958            Pavarde958            4              4              9              9              3              
Vardas959            Pavarde959            3              4              2              7              4              
Vardas960            Pavarde960            3              5              10             0              7              
Vardas961            Pavarde961            6              6              0              9              3              
Vardas962            Pavarde962            9              7              3              0              2              
Vardas963            Pavarde963            9              0              5              0              7              
Vardas964            Pavarde964            6              10             9              3              1              
Vardas965            Pavarde965            10             9              2              9              5              
Vardas966            Pavarde966            8              5              10             3              9              
Vardas967            Pavarde967            0              3              10             2              0              
Vardas968            Pavarde968            7              8              3              6              8              
Vardas969            Pavarde969            4              4              1              5              7              
Vardas970            Pavarde970            9              8              7              6              10             
Vardas971            Pavarde971            2              0              6              1              1              
Vardas972            Pavarde972            7              7              2              10             0              
Vardas973            Pavarde973            4              5              9              5              5              
Vardas974            Pavarde974            2              4              1              9              2              
Vardas975            Pavarde975            6              8              8              2              6              
Vardas976            Pavarde976            3              4              7              4              0              
Vardas977            Pavarde977            6              0              4              2              6              
Vardas978            Pavarde978            1              7              7              2              2              
Vardas979            Pavarde979            8              0              10             7              8              
Vardas980            Pavarde980            4              10             5              9              6              
Vardas981            Pavarde981            1              7              5              10             2              
Vardas982            Pavarde982            3              5              6              2              8              
Vardas983            Pavarde983            4              1              6              4              6              
Vardas984            Pavarde984            3              9              10             8              8              
Vardas985            Pavarde985            7              3              9              6              1              
Vardas986            Pavarde986            2              0              0              7              3              
Vardas987            Pavarde987            6              6              2              0              2              
Vardas988            Pavarde988            0              7              2              0              6              
Vardas989            Pavarde989            3              9              9              8              7              
Vardas990            Pavarde990            10             0              4              1              6              
Vardas991            Pavarde991            4              10             0              3              9              
Vardas992            Pavarde992            1              6              9              4              10             
Vardas993            Pavarde993            7              4              1              10             1              
Vardas994            Pavarde994            5              3              4              6              6              
Vardas995            Pavarde995            9              4              3              9              7              
Vardas996            Pavarde996            9              4              9              1              0              
Vardas997            Pavarde997            7              10             10             4              7              
Vardas998            Pavarde998            0              6              3              1              4              
Vardas999            Pavarde999            4              1              2              8              2              
